From station id,To station id,Gdistance (meters),time
1026,1032,1068,0 days 00:03:47.000000000
1029,1021,2868,0 days 00:12:03.000000000
1029,1028,1080,0 days 00:04:27.000000000
1041,1047,2865,0 days 00:08:36.000000000
1047,1002,4109,0 days 00:13:05.000000000
1002,1000,581,0 days 00:02:01.000000000
1000,1007,1774,0 days 00:07:30.000000000
1007,1005,1121,0 days 00:05:01.000000000
1005,1047,4370,0 days 00:14:07.000000000
1047,1047,0,0 days 00:00:00.000000000
1014,1015,965,0 days 00:03:38.000000000
1047,1007,2453,0 days 00:11:07.000000000
1007,1041,2904,0 days 00:12:38.000000000
1012,1033,8836,0 days 00:37:25.000000000
1045,1049,1852,0 days 00:06:43.000000000
1018,1005,4265,0 days 00:16:36.000000000
1003,1003,0,0 days 00:00:00.000000000
1006,1017,1998,0 days 00:07:22.000000000
1022,1036,2812,0 days 00:11:51.000000000
1048,1004,3836,0 days 00:12:32.000000000
1039,1012,6733,0 days 00:24:13.000000000
1028,1029,1244,0 days 00:03:52.000000000
1038,1045,2165,0 days 00:09:34.000000000
1020,1019,731,0 days 00:02:15.000000000
1012,1000,1551,0 days 00:08:28.000000000
1045,1045,0,0 days 00:00:00.000000000
1000,1047,4911,0 days 00:16:12.000000000
1001,1000,543,0 days 00:01:54.000000000
1016,1021,3719,0 days 00:18:38.000000000
1007,1045,2824,0 days 00:09:54.000000000
1005,1005,0,0 days 00:00:00.000000000
1047,1000,4583,0 days 00:14:33.000000000
1000,1001,301,0 days 00:00:56.000000000
1029,1040,3309,0 days 00:13:05.000000000
1010,1016,1105,0 days 00:04:33.000000000
1045,1048,1498,0 days 00:04:44.000000000
1041,1012,5855,0 days 00:21:19.000000000
1001,1013,834,0 days 00:04:23.000000000
1023,1015,7213,0 days 00:26:39.000000000
1007,1048,2834,0 days 00:08:28.000000000
1006,1000,1433,0 days 00:05:26.000000000
1038,1004,4558,0 days 00:15:33.000000000
1045,1029,7295,0 days 00:27:48.000000000
1001,1016,2035,0 days 00:08:39.000000000
1000,1048,4380,0 days 00:14:41.000000000
1048,1045,2266,0 days 00:06:49.000000000
1029,1033,1185,0 days 00:04:50.000000000
1041,1039,1040,0 days 00:04:39.000000000
1014,1014,0,0 days 00:00:00.000000000
1040,1041,517,0 days 00:02:37.000000000
1046,1045,380,0 days 00:01:04.000000000
1009,1010,349,0 days 00:01:38.000000000
1007,1003,1519,0 days 00:06:23.000000000
1001,1007,1631,0 days 00:07:01.000000000
1048,1001,4068,0 days 00:13:14.000000000
1038,1038,0,0 days 00:00:00.000000000
1004,1038,4507,0 days 00:20:52.000000000
1003,1007,1370,0 days 00:06:24.000000000
1033,1033,0,0 days 00:00:00.000000000
1002,1007,1712,0 days 00:07:16.000000000
1032,1031,578,0 days 00:01:49.000000000
1010,1003,1041,0 days 00:04:49.000000000
1034,1037,1132,0 days 00:05:42.000000000
1043,1028,5314,0 days 00:19:59.000000000
1034,1033,1664,0 days 00:05:53.000000000
1049,1001,3019,0 days 00:11:08.000000000
1002,1016,2207,0 days 00:08:56.000000000
1025,1026,715,0 days 00:02:39.000000000
1027,1041,4118,0 days 00:16:07.000000000
1023,1022,640,0 days 00:03:22.000000000
1024,1006,7247,0 days 00:26:43.000000000
1022,1023,640,0 days 00:02:28.000000000
1020,1000,5318,0 days 00:19:01.000000000
1037,1034,1132,0 days 00:05:38.000000000
1003,1010,1077,0 days 00:04:59.000000000
1020,1024,2313,0 days 00:08:10.000000000
1006,1040,4735,0 days 00:24:33.000000000
1033,1034,1628,0 days 00:05:47.000000000
1049,1049,0,0 days 00:00:00.000000000
1031,1032,578,0 days 00:02:27.000000000
1041,1041,0,0 days 00:00:00.000000000
1041,1049,4033,0 days 00:12:53.000000000
1010,1010,0,0 days 00:00:00.000000000
1033,1037,2679,0 days 00:10:13.000000000
1038,1039,552,0 days 00:01:38.000000000
1039,1040,1187,0 days 00:05:53.000000000
1018,1050,616,0 days 00:02:59.000000000
1005,1016,1977,0 days 00:07:31.000000000
1015,1011,2096,0 days 00:07:25.000000000
1031,1031,0,0 days 00:00:00.000000000
1050,1050,0,0 days 00:00:00.000000000
1016,1005,1674,0 days 00:08:03.000000000
1040,1034,1268,0 days 00:04:33.000000000
1034,1021,2120,0 days 00:09:10.000000000
1029,1016,6429,0 days 00:22:44.000000000
1012,1011,1795,0 days 00:07:23.000000000
1034,1024,1954,0 days 00:08:02.000000000
1000,1015,2106,0 days 00:09:34.000000000
1007,1007,0,0 days 00:00:00.000000000
1024,1030,526,0 days 00:02:29.000000000
1032,1024,1152,0 days 00:05:40.000000000
1048,1047,637,0 days 00:01:48.000000000
1036,1037,353,0 days 00:01:45.000000000
1040,1038,2239,0 days 00:08:00.000000000
1050,1040,4256,0 days 00:20:55.000000000
1040,1039,1491,0 days 00:06:32.000000000
1016,1010,1054,0 days 00:04:30.000000000
1001,1001,0,0 days 00:00:00.000000000
1049,1005,2630,0 days 00:11:07.000000000
1001,1009,1280,0 days 00:06:00.000000000
1038,1036,1284,0 days 00:05:12.000000000
1039,1041,667,0 days 00:02:59.000000000
1044,1040,1564,0 days 00:08:06.000000000
1000,1013,881,0 days 00:04:43.000000000
1038,1043,1208,0 days 00:04:05.000000000
1001,1004,976,0 days 00:04:01.000000000
1028,1043,5994,0 days 00:22:47.000000000
1003,1047,4086,0 days 00:14:58.000000000
1040,1031,2749,0 days 00:09:46.000000000
1040,1040,0,0 days 00:00:00.000000000
1021,1019,1234,0 days 00:04:55.000000000
1036,1038,1472,0 days 00:05:03.000000000
1036,1044,1313,0 days 00:04:59.000000000
1021,1050,1571,0 days 00:05:28.000000000
1001,1047,6711,0 days 00:20:53.000000000
1047,1003,3811,0 days 00:12:20.000000000
1010,1015,1991,0 days 00:08:34.000000000
1004,1048,3836,0 days 00:12:41.000000000
1005,1049,2645,0 days 00:09:57.000000000
1002,1048,4180,0 days 00:14:05.000000000
1043,1038,1160,0 days 00:05:22.000000000
1038,1040,1739,0 days 00:07:31.000000000
1034,1020,2687,0 days 00:11:33.000000000
1003,1049,2556,0 days 00:09:53.000000000
1044,1035,1844,0 days 00:09:07.000000000
1038,1041,1219,0 days 00:04:37.000000000
1035,1040,717,0 days 00:03:28.000000000
1047,1005,3353,0 days 00:13:22.000000000
1041,1044,1131,0 days 00:04:07.000000000
1025,1001,7256,0 days 00:24:56.000000000
1047,1001,4599,0 days 00:14:42.000000000
1031,1023,1137,0 days 00:05:34.000000000
1048,1007,3091,0 days 00:12:55.000000000
1049,1003,2231,0 days 00:08:46.000000000
1023,1020,1770,0 days 00:07:46.000000000
1043,1040,1420,0 days 00:06:23.000000000
1040,1028,4575,0 days 00:16:04.000000000
1010,1007,1640,0 days 00:08:34.000000000
1041,1038,1288,0 days 00:06:31.000000000
1009,1009,0,0 days 00:00:00.000000000
1002,1002,0,0 days 00:00:00.000000000
1004,1004,0,0 days 00:00:00.000000000
1050,1005,3736,0 days 00:14:30.000000000
1014,1001,2334,0 days 00:08:28.000000000
1044,1041,1044,0 days 00:05:12.000000000
1001,1010,1041,0 days 00:05:02.000000000
1015,1010,1931,0 days 00:07:19.000000000
1010,1036,6023,0 days 00:30:52.000000000
1021,1011,6025,0 days 00:22:04.000000000
1002,1017,2617,0 days 00:09:57.000000000
1039,1038,699,0 days 00:04:10.000000000
1020,1035,3157,0 days 00:12:52.000000000
1017,1010,1376,0 days 00:05:16.000000000
1005,1050,3987,0 days 00:14:21.000000000
1035,1031,2319,0 days 00:08:59.000000000
1040,1044,1581,0 days 00:06:00.000000000
1003,1000,801,0 days 00:02:43.000000000
1009,1000,1230,0 days 00:05:21.000000000
1001,1025,7183,0 days 00:31:39.000000000
1013,1000,861,0 days 00:04:27.000000000
1001,1014,2822,0 days 00:12:55.000000000
1036,1041,670,0 days 00:03:45.000000000
1028,1032,1248,0 days 00:04:21.000000000
1041,1000,6331,0 days 00:21:00.000000000
1036,1045,3046,0 days 00:12:10.000000000
1032,1032,0,0 days 00:00:00.000000000
1032,1029,567,0 days 00:02:06.000000000
1022,1019,1770,0 days 00:05:59.000000000
1036,1039,1034,0 days 00:04:38.000000000
1006,1046,5680,0 days 00:17:58.000000000
1027,1031,900,0 days 00:02:57.000000000
1020,1030,2443,0 days 00:10:19.000000000
1028,1026,1939,0 days 00:07:18.000000000
1026,1037,3735,0 days 00:14:12.000000000
1023,1030,1036,0 days 00:03:45.000000000
1043,1033,3442,0 days 00:13:32.000000000
1033,1028,1766,0 days 00:06:58.000000000
1003,1013,1393,0 days 00:06:15.000000000
1016,1047,8532,0 days 00:25:59.000000000
1013,1003,1708,0 days 00:07:49.000000000
1010,1019,4289,0 days 00:17:04.000000000
1024,1040,2811,0 days 00:12:07.000000000
1032,1039,4508,0 days 00:18:04.000000000
1026,1033,1686,0 days 00:06:26.000000000
1040,1024,2992,0 days 00:11:47.000000000
1002,1009,1452,0 days 00:06:18.000000000
1046,1046,0,0 days 00:00:00.000000000
1000,1017,2415,0 days 00:09:37.000000000
1031,1040,2751,0 days 00:11:11.000000000
1040,1020,3279,0 days 00:13:37.000000000
1040,1006,4099,0 days 00:13:43.000000000
1016,1001,2143,0 days 00:09:08.000000000
1021,1040,2786,0 days 00:11:33.000000000
1045,1003,5211,0 days 00:16:48.000000000
1020,1033,2958,0 days 00:13:46.000000000
1017,1017,0,0 days 00:00:00.000000000
1004,1001,1128,0 days 00:04:28.000000000
