,distance (meters),time
0,1068,0 days 00:03:47.000000000
298,3735,0 days 00:14:12.000000000
333,1686,0 days 00:06:26.000000000
519,954,0 days 00:03:33.000000000
988,2543,0 days 00:10:16.000000000
1194,4091,0 days 00:15:43.000000000
1873,2685,0 days 00:09:46.000000000
2491,1984,0 days 00:07:32.000000000
4606,4911,0 days 00:18:50.000000000
5087,7762,0 days 00:28:22.000000000
5354,0,0 days 00:00:00.000000000
5404,2121,0 days 00:08:29.000000000
6270,3274,0 days 00:12:31.000000000
6733,3497,0 days 00:13:00.000000000
6737,609,0 days 00:02:46.000000000
7423,5125,0 days 00:20:22.000000000
7612,1531,0 days 00:06:00.000000000
7691,2684,0 days 00:10:29.000000000
7784,714,0 days 00:04:21.000000000
8172,5255,0 days 00:19:50.000000000
8414,6881,0 days 00:24:38.000000000
12616,8764,0 days 00:31:34.000000000
12928,540,0 days 00:02:36.000000000
13159,3725,0 days 00:14:26.000000000
13839,7970,0 days 00:29:17.000000000
14155,4228,0 days 00:15:01.000000000
15079,1004,0 days 00:04:43.000000000
19515,7992,0 days 00:28:35.000000000
19578,5590,0 days 00:20:03.000000000
19604,3128,0 days 00:12:11.000000000
20599,1162,0 days 00:04:11.000000000
23814,7656,0 days 00:25:05.000000000
30468,8117,0 days 00:29:57.000000000
42168,6532,0 days 00:23:01.000000000
44501,7847,0 days 00:28:38.000000000
49690,9237,0 days 00:29:59.000000000
49827,8023,0 days 00:26:06.000000000
52676,5111,0 days 00:19:16.000000000
59100,5914,0 days 00:20:59.000000000
60573,8129,0 days 00:30:06.000000000
63727,7866,0 days 00:28:51.000000000
73852,6355,0 days 00:28:04.000000000
1,2868,0 days 00:12:03.000000000
2,1080,0 days 00:04:27.000000000
48,3309,0 days 00:13:05.000000000
67,1185,0 days 00:04:50.000000000
136,6429,0 days 00:22:44.000000000
454,464,0 days 00:02:06.000000000
456,567,0 days 00:02:10.000000000
681,1138,0 days 00:05:06.000000000
720,0,0 days 00:00:00.000000000
1163,2713,0 days 00:10:51.000000000
